DATASIZE;StaticTime;StaticSize;DynamicTime;DynamicSize
1;0.000052;10560;0.000064;10480
1;0.000055;10560;0.000047;10480
1;0.000045;10560;0.000047;10480
1;0.000051;10560;0.000047;10480
1;0.000060;10560;0.000048;10480
1;0.000055;10560;0.000051;10480
1;0.000067;10560;0.000047;10480
1;0.000057;10560;0.000046;10480
1;0.000045;10560;0.000067;10480
1;0.000048;10560;0.000062;10480
2;0.000056;10568;0.000049;10480
2;0.000109;10568;0.000044;10480
2;0.000053;10568;0.000054;10480
2;0.000061;10568;0.000068;10480
2;0.000085;10568;0.000040;10480
2;0.000058;10568;0.000047;10480
2;0.000054;10568;0.000042;10480
2;0.000054;10568;0.000057;10480
2;0.000040;10568;0.000052;10480
2;0.000047;10568;0.000078;10480
4;0.000051;10584;0.000051;10480
4;0.000056;10584;0.000051;10480
4;0.000051;10584;0.000061;10480
4;0.000056;10584;0.000057;10480
4;0.000045;10584;0.000047;10480
4;0.000050;10584;0.000322;10480
4;0.000074;10584;0.000067;10480
4;0.000045;10584;0.000056;10480
4;0.000055;10584;0.000063;10480
4;0.000060;10584;0.000088;10480
8;0.000091;10632;0.000066;10480
8;0.000071;10632;0.000080;10480
8;0.000068;10632;0.000112;10480
8;0.000068;10632;0.000062;10480
8;0.000060;10632;0.000051;10480
8;0.000089;10632;0.000089;10480
8;0.000093;10632;0.000074;10480
8;0.000095;10632;0.000070;10480
8;0.000091;10632;0.000073;10480
8;0.000076;10632;0.000073;10480
16;0.000274;10664;0.000223;10480
16;0.000112;10664;0.000246;10480
16;0.000101;10664;0.000133;10480
16;0.000087;10664;0.000066;10480
16;0.000091;10664;0.000121;10480
16;0.000110;10664;0.000082;10480
16;0.000084;10664;0.000089;10480
16;0.000094;10664;0.000090;10480
16;0.000100;10664;0.000120;10480
16;0.000262;10664;0.000068;10480
32;0.000161;10728;0.000148;10480
32;0.000179;10728;0.000135;10480
32;0.000240;10728;0.000205;10480
32;0.000299;10728;0.000149;10480
32;0.000194;10728;0.000350;10480
32;0.000225;10728;0.000136;10480
32;0.000154;10728;0.000398;10480
32;0.000137;10728;0.000116;10480
32;0.000135;10728;0.000190;10480
32;0.000146;10728;0.000158;10480
64;0.000275;10856;0.000204;10480
64;0.000267;10856;0.000566;10480
64;0.000318;10856;0.000241;10480
64;0.000299;10856;0.000277;10480
64;0.000268;10856;0.000417;10480
64;0.000679;10856;0.000724;10480
64;0.000343;10856;0.000422;10480
64;0.000222;10856;0.000405;10480
64;0.000334;10856;0.000662;10480
64;0.000228;10856;0.000269;10480
128;0.000779;11112;0.000618;10480
128;0.000461;11112;0.000350;10480
128;0.000540;11112;0.000453;10480
128;0.000404;11112;0.000434;10480
128;0.000562;11112;0.000616;10480
128;0.000595;11112;0.000400;10480
128;0.000662;11112;0.000441;10480
128;0.000479;11112;0.000454;10480
128;0.000573;11112;0.000504;10480
128;0.000431;11112;0.000657;10480
256;0.000995;11624;0.000839;10480
256;0.001094;11624;0.001279;10480
256;0.001124;11624;0.001137;10480
256;0.000980;11624;0.000852;10480
256;0.000913;11624;0.000986;10480
256;0.000952;11624;0.001073;10480
256;0.000849;11624;0.000878;10480
256;0.000786;11624;0.000911;10480
256;0.001092;11624;0.001013;10480
256;0.000826;11624;0.000883;10480
512;0.002603;12648;0.001796;10480
512;0.001738;12648;0.001841;10480
512;0.001881;12648;0.001695;10480
512;0.001739;12648;0.001651;10480
512;0.002068;12648;0.002543;10480
512;0.001738;12648;0.001744;10480
512;0.001980;12648;0.002415;10480
512;0.001916;12648;0.002057;10480
512;0.001902;12648;0.001834;10480
512;0.001870;12648;0.001568;10480
1024;0.003538;14696;0.003978;10480
1024;0.003524;14696;0.003540;10480
1024;0.004108;14696;0.003890;10480
1024;0.003464;14696;0.003217;10480
1024;0.003627;14696;0.003768;10480
1024;0.003611;14696;0.003522;10480
1024;0.003813;14696;0.003960;10480
1024;0.003628;14696;0.004014;10480
1024;0.003680;14696;0.003502;10480
1024;0.003329;14696;0.003304;10480
2048;0.006896;18792;0.007829;10480
2048;0.007212;18792;0.009422;10480
2048;0.006767;18792;0.007202;10480
2048;0.006981;18792;0.007650;10480
2048;0.007194;18792;0.007079;10480
2048;0.008906;18792;0.008637;10480
2048;0.008819;18792;0.007380;10480
2048;0.007272;18792;0.007700;10480
2048;0.007299;18792;0.007784;10480
2048;0.007962;18792;0.007899;10480
4096;0.014713;26984;0.014143;10480
4096;0.013733;26984;0.014584;10480
4096;0.015096;26984;0.014207;10480
4096;0.016566;26984;0.017437;10480
4096;0.015361;26984;0.015082;10480
4096;0.015750;26984;0.014168;10480
4096;0.015338;26984;0.016855;10480
4096;0.013981;26984;0.014557;10480
4096;0.014818;26984;0.013932;10480
4096;0.016259;26984;0.017381;10480
8192;0.030325;43368;0.030780;10480
8192;0.030636;43368;0.030068;10480
8192;0.032909;43368;0.030262;10480
8192;0.027951;43368;0.029310;10480
8192;0.029538;43368;0.030098;10480
8192;0.028404;43368;0.029531;10480
8192;0.028744;43368;0.028418;10480
8192;0.030026;43368;0.028527;10480
8192;0.029262;43368;0.028882;10480
8192;0.029198;43368;0.028755;10480
16384;0.058329;76136;0.058890;10480
16384;0.059038;76136;0.060964;10480
16384;0.059624;76136;0.057735;10480
16384;0.061447;76136;0.058465;10480
16384;0.059703;76136;0.058060;10480
16384;0.057615;76136;0.059717;10480
16384;0.061191;76136;0.062491;10480
16384;0.059749;76136;0.061001;10480
16384;0.057976;76136;0.059960;10480
16384;0.059615;76136;0.060262;10480
32768;0.115776;141672;0.119386;10480
32768;0.116320;141672;0.119311;10480
32768;0.117063;141672;0.119414;10480
32768;0.117481;141672;0.117137;10480
32768;0.120206;141672;0.114532;10480
32768;0.144759;141672;0.184216;10480
32768;0.213654;141672;0.141633;10480
32768;0.127067;141672;0.153163;10480
32768;0.175943;141672;0.153068;10480
32768;0.168869;141672;0.175911;10480
65536;0.385161;272744;0.278497;10480
65536;0.260999;272744;0.258586;10480
65536;0.257785;272744;0.256544;10480
65536;0.254535;272744;0.263518;10480
65536;0.361745;272744;0.327762;10480
65536;0.339943;272744;0.358089;10480
65536;0.345061;272744;0.322284;10480
65536;0.337977;272744;0.334852;10480
65536;0.313117;272744;0.324007;10480
65536;0.320980;272744;0.325673;10480
131072;0.648881;534888;0.642883;10480
131072;0.652596;534888;0.644805;10480
131072;0.648828;534888;0.639498;10480
131072;0.648541;534888;0.643107;10480
131072;0.645965;534888;0.639113;10480
131072;0.632483;534888;0.639939;10480
131072;0.644151;534888;0.670872;10480
131072;0.663927;534888;0.666096;10480
131072;0.644592;534888;0.637939;10480
131072;0.648838;534888;0.642215;10480
262144;1.305314;1059176;1.305224;10480
262144;1.323079;1059176;1.300093;10480
262144;1.337750;1059176;1.304014;10480
262144;1.305053;1059176;1.303966;10480
262144;1.336035;1059176;1.283580;10480
262144;1.288659;1059176;1.277664;10480
262144;1.279794;1059176;1.310444;10480
262144;1.295659;1059176;1.343144;10480
262144;1.321993;1059176;1.311996;10480
262144;1.306629;1059176;1.321372;10480
524288;2.648283;2107752;2.580310;10480
524288;2.597929;2107752;2.619384;10480
524288;2.662610;2107752;2.630698;10480
524288;2.613309;2107752;2.585756;10480
524288;2.585931;2107752;2.551082;10480
524288;2.588694;2107752;2.590345;10480
524288;2.581915;2107752;2.579123;10480
524288;2.592649;2107752;2.550707;10480
524288;2.546645;2107752;2.385444;10480
524288;2.190628;2107752;2.122174;10480
